Drug,F1_Score
5-Fluorouracil,0.6487556561085973
ABT737,0.26666666666666666
AGI-5198,0.8699965493443754
AGK2,0.9487179487179488
AMG-319,0.9537612146307799
AT13148,0.8491228070175438
AZ6102,0.8436647173489279
AZD3759,0.9189640768588135
AZD4547,0.7912457912457912
AZD5363,0.5333333333333333
AZD6738,0.8671023965141612
AZD7762,0.8222222222222223
AZD8186,0.7282051282051283
Afatinib,0.5857142857142857
Afuresertib,0.8055555555555555
Alpelisib,0.7222222222222222
Avagacestat,0.7992202729044834
Axitinib,0.7000000000000001
BIBR-1532,0.5674603174603174
BMS-536924,0.943355119825708
BMS-754807,0.9722222222222222
Bortezomib,0.9476543209876542
Bosutinib,0.832010582010582
Buparlisib,0.9
Camptothecin,0.8316276803118908
Cediranib,0.8437761069340016
Cisplatin,0.8424850003797372
Crizotinib,0.901940842444275
Cyclophosphamide,0.8393939393939394
Dabrafenib,0.6148148148148148
Dactinomycin,0.9753086419753085
Dactolisib,0.9
Dasatinib,0.854775828460039
Docetaxel,0.7995554497102484
Doramapimod,0.7437127024722933
EHT-1864,0.7641325536062378
EPZ004777,0.8116402116402117
EPZ5676,0.7578947368421053
Entinostat,0.8801543500695472
Epirubicin,0.8342995169082125
Erlotinib,0.9172932330827067
Foretinib,0.9097435897435897
Fulvestrant,0.8455513784461153
GDC0810,0.8546296296296297
GNE-317,0.8055555555555555
GSK1904529A,0.9137254901960784
GSK2578215A,0.8782828282828282
GSK343,0.8018952062430325
GSK591,0.8472222222222222
Gefitinib,0.8023809523809523
Gemcitabine,0.7222222222222222
I-BRD9,0.7685185185185185
Ipatasertib,0.7777777777777778
Irinotecan,0.8595520421607379
JQ1,0.6857142857142856
KU-55933,0.8730434782608696
LGK974,0.9310144927536234
LJI308,0.5222222222222223
Lapatinib,0.9153439153439153
Lenalidomide,0.8335769980506823
Lestaurtinib,0.8957360722066604
Linsitinib,0.7899610136452241
MG-132,0.9505114638447972
MIRA-1,0.5757575757575758
MK-1775,0.8888888888888888
MK-2206,0.9322222222222223
MK-8776,0.49242424242424243
Motesanib,0.9246031746031745
NU7441,0.9107936507936508
Navitoclax,0.546031746031746
Nilotinib,0.7326007326007327
Nutlin-3a (-),0.16666666666666666
OSI-027,0.4090909090909091
Olaparib,0.8295376121463077
Osimertinib,0.8375350140056023
Oxaliplatin,0.6412698412698412
P22077,0.7529239766081871
PD0325901,0.49603174603174605
PD173074,0.6591478696741855
PFI-1,0.8078431372549021
PLX-4720,0.7390043736792963
Paclitaxel,0.9619753086419752
Palbociclib,0.9020289855072464
Pevonedistat,0.654040404040404
Pictilisib,0.826058201058201
Pyridostatin,0.6552197802197802
RO-3306,0.787878787878788
Rapamycin,0.6005291005291005
Refametinib,0.8202020202020203
Ribociclib,0.8055555555555555
Rucaparib,0.9121572871572871
SB216763,0.8374727668845315
SB590885,0.6
SCH772984,0.923015873015873
SGC0946,0.7651515151515151
SN-38,0.7077922077922079
Sapitinib,0.6763236763236763
Savolitinib,0.7388888888888889
Selumetinib,0.6944444444444443
Sepantronium bromide,0.6868686868686869
Serdemetan,0.8267973856209151
Sorafenib,0.84593837535014
Staurosporine,0.7749766573295985
Talazoparib,0.0
Tamoxifen,0.8196491228070175
Tanespimycin,0.8175925925925926
Taselisib,0.5777777777777778
Telomerase Inhibitor IX,0.8530214424951268
Temozolomide,0.9320884429580083
Trametinib,0.5682539682539682
Ulixertinib,0.5485625485625486
Uprosertib,0.7541478129713424
VE821,0.7122507122507123
VX-11e,0.775255131292283
Veliparib,0.8707240471946355
Venetoclax,0.6825396825396824
Vinorelbine,0.8850408850408851
Vismodegib,0.9085858585858585
Vorinostat,0.907051282051282
WEHI-539,0.7534391534391535
WIKI4,0.8609661835748792
Wee1 Inhibitor,0.8661764705882353
YK-4-279,0.9218500797448166
ZM447439,0.9238447971781305
