Drug,Gene
5-Fluorouracil,TSPAN19
5-Fluorouracil,PAOX
5-Fluorouracil,Unnamed: 16634
5-Fluorouracil,BCKDHB
5-Fluorouracil,C15orf32
5-Fluorouracil,SMCP
5-Fluorouracil,ZSCAN4
5-Fluorouracil,TANGO6
5-Fluorouracil,CA4
5-Fluorouracil,NEDD9
5-Fluorouracil,NFKBIL1
5-Fluorouracil,HTR2C
5-Fluorouracil,TXNDC17
5-Fluorouracil,RASGRP1
5-Fluorouracil,SNAP25
5-Fluorouracil,PCM1
5-Fluorouracil,IL37
5-Fluorouracil,CNTD2
5-Fluorouracil,AFP
5-Fluorouracil,FAM151B
5-Fluorouracil,SSU72P8
5-Fluorouracil,ST6GALNAC3
5-Fluorouracil,PSMG2
5-Fluorouracil,PCDH8
5-Fluorouracil,KEAP1
5-Fluorouracil,ATP2B1
5-Fluorouracil,STK33
5-Fluorouracil,ARTN
5-Fluorouracil,DEAF1
5-Fluorouracil,NPC1
5-Fluorouracil,RNF20
5-Fluorouracil,XKR9
5-Fluorouracil,IL16
5-Fluorouracil,IDO2
5-Fluorouracil,MTL5
5-Fluorouracil,TBX20
5-Fluorouracil,PPP1R3B
5-Fluorouracil,ADAMTS3
5-Fluorouracil,NOX4
5-Fluorouracil,ZNF197
5-Fluorouracil,OR2M7
5-Fluorouracil,CLDN14
5-Fluorouracil,SIGIRR
5-Fluorouracil,TIMM10
5-Fluorouracil,GTPBP10
5-Fluorouracil,PCDHB4
5-Fluorouracil,R3HCC1
5-Fluorouracil,MSANTD4
5-Fluorouracil,TTC26
5-Fluorouracil,XPO7
5-Fluorouracil,KRT73
5-Fluorouracil,SLC27A2
5-Fluorouracil,PERP
5-Fluorouracil,ZNF204P
5-Fluorouracil,TFF2
5-Fluorouracil,OR10G3
5-Fluorouracil,EFNB2
5-Fluorouracil,ATP1B3
5-Fluorouracil,ZNF763
5-Fluorouracil,TAS1R3
5-Fluorouracil,DDX18
5-Fluorouracil,THOC5
5-Fluorouracil,ZSWIM7
5-Fluorouracil,BRD9
5-Fluorouracil,LGALS3BP
5-Fluorouracil,TMPRSS11E
5-Fluorouracil,FBXO16
5-Fluorouracil,PRAMEF12
5-Fluorouracil,GTPBP4
5-Fluorouracil,Unnamed: 16300
5-Fluorouracil,TOB2P1
5-Fluorouracil,C16orf92
5-Fluorouracil,TNFSF8
5-Fluorouracil,KRTAP4-2
5-Fluorouracil,CCDC7
5-Fluorouracil,SDR9C7
5-Fluorouracil,RCAN3
5-Fluorouracil,C1QTNF3
5-Fluorouracil,CLNS1A
5-Fluorouracil,QTRTD1
5-Fluorouracil,CLK4
5-Fluorouracil,PHC3
5-Fluorouracil,CXorf30
5-Fluorouracil,HEY2
5-Fluorouracil,UCK2
5-Fluorouracil,STX4
5-Fluorouracil,IFNA21
5-Fluorouracil,NCAM1
5-Fluorouracil,ZNF192P1
5-Fluorouracil,MRI1
5-Fluorouracil,ZPBP2
5-Fluorouracil,Unnamed: 17500
5-Fluorouracil,IL31RA
5-Fluorouracil,TTC40
5-Fluorouracil,SAA3P
5-Fluorouracil,APOB
5-Fluorouracil,NCR3
5-Fluorouracil,PRDX1
5-Fluorouracil,LINC00085
5-Fluorouracil,OR10W1
ABT737,Unnamed: 17439
ABT737,C5orf48
ABT737,SPSB4
ABT737,KCNA4
ABT737,ANKRD33
ABT737,SIGLEC10
ABT737,Unnamed: 17338
ABT737,ARVCF
ABT737,MEFV
ABT737,PYHIN1
ABT737,NR5A1
ABT737,DEFB135
ABT737,PTPLA
ABT737,SLC25A19
ABT737,ESR2
ABT737,PHOX2B
ABT737,BCAR1
ABT737,CHRDL1
ABT737,NEUROG1
ABT737,CLMP
ABT737,P4HA3
ABT737,Unnamed: 17725
ABT737,EIF2D
ABT737,BNC2
ABT737,ZNF347
ABT737,KRT73
ABT737,PDZD9
ABT737,EOGT
ABT737,ISM2
ABT737,ATP10B
ABT737,TPD52
ABT737,STMN4
ABT737,ANTXR1
ABT737,KRTAP1-1
ABT737,FCRL3
ABT737,PRF1
ABT737,CCR6
ABT737,OSTM1
ABT737,HMOX1
ABT737,LCE2D
ABT737,RFX8
ABT737,FAM71A
ABT737,PRSS57
ABT737,ECHS1
ABT737,NTN3
ABT737,SH2B2
ABT737,LINC00612
ABT737,TBX21
ABT737,SPACA3
ABT737,PLEKHN1
ABT737,FUBP3
ABT737,SOWAHD
ABT737,MPO
ABT737,PICK1
